timestamp,ax,ay,az
1630674781593,-0.578125,0.203125,0.78125
1630674781625,-0.578125,0.25,0.75
1630674781656,-0.5625,0.234375,0.734375
1630674781687,-0.53125,0.265625,0.734375
1630674781718,-0.53125,0.296875,0.703125
1630674781750,-0.515625,0.328125,0.671875
1630674781781,-0.484375,0.34375,0.65625
1630674781812,-0.515625,0.375,0.625
1630674781843,-0.625,0.359375,0.71875
1630674781875,-0.609375,0.359375,0.84375
1630674781906,-0.484375,0.40625,0.96875
1630674781937,-0.4375,0.40625,0.9375
1630674781968,-0.40625,0.40625,0.828125
1630674782000,-0.46875,0.390625,0.796875
1630674782031,-0.484375,0.390625,0.8125
1630674782062,-0.4375,0.375,0.796875
1630674782093,-0.4375,0.375,0.796875
1630674782125,-0.453125,0.390625,0.78125
1630674782156,-0.484375,0.390625,0.8125
1630674782187,-0.46875,0.375,0.78125
1630674782218,-0.453125,0.359375,0.78125
1630674782250,-0.4375,0.375,0.796875
1630674782281,-0.421875,0.375,0.796875
1630674782312,-0.390625,0.390625,0.828125
1630674782343,-0.390625,0.375,0.84375
1630674782375,-0.390625,0.359375,0.828125
1630674782406,-0.4375,0.359375,0.796875
1630674782437,-0.46875,0.359375,0.78125
1630674782468,-0.46875,0.375,0.796875
1630674782500,-0.453125,0.375,0.796875
1630674782531,-0.4375,0.375,0.8125
1630674782562,-0.40625,0.375,0.8125
1630674782593,-0.390625,0.375,0.796875
1630674782625,-0.40625,0.375,0.8125
1630674782656,-0.40625,0.359375,0.828125
1630674782687,-0.4375,0.359375,0.796875
1630674782718,-0.453125,0.359375,0.796875
1630674782750,-0.4375,0.375,0.796875
1630674782781,-0.4375,0.375,0.8125
1630674782812,-0.421875,0.375,0.828125
1630674782843,-0.421875,0.375,0.796875
1630674782875,-0.421875,0.359375,0.796875
1630674782906,-0.421875,0.375,0.8125
1630674782937,-0.421875,0.375,0.8125
1630674782968,-0.421875,0.375,0.8125
1630674783000,-0.421875,0.359375,0.8125
1630674783031,-0.421875,0.375,0.8125
1630674783062,-0.421875,0.375,0.8125
1630674783093,-0.421875,0.375,0.8125
1630674783125,-0.421875,0.375,0.8125
1630674783156,-0.40625,0.375,0.8125
1630674783187,-0.421875,0.375,0.828125
1630674783218,-0.40625,0.375,0.8125
1630674783250,-0.421875,0.375,0.8125
1630674783281,-0.40625,0.375,0.8125
1630674783312,-0.40625,0.375,0.8125
1630674783343,-0.421875,0.375,0.8125
1630674783375,-0.421875,0.375,0.8125
1630674783406,-0.40625,0.375,0.8125
1630674783437,-0.40625,0.375,0.8125
1630674783468,-0.40625,0.375,0.8125
1630674783500,-0.40625,0.375,0.8125
1630674783531,-0.421875,0.375,0.828125
1630674783562,-0.40625,0.375,0.8125
1630674783593,-0.40625,0.375,0.8125
1630674783625,-0.421875,0.375,0.8125
1630674783656,-0.40625,0.375,0.8125
1630674783687,-0.40625,0.375,0.8125
1630674783718,-0.40625,0.375,0.8125
1630674783750,-0.40625,0.375,0.8125
1630674783781,-0.421875,0.375,0.8125
1630674783812,-0.40625,0.375,0.8125
1630674783843,-0.40625,0.375,0.8125
1630674783875,-0.40625,0.375,0.8125
1630674783906,-0.40625,0.375,0.8125
1630674783937,-0.40625,0.375,0.828125
1630674783968,-0.40625,0.375,0.8125
1630674784000,-0.40625,0.375,0.8125
1630674784031,-0.40625,0.375,0.8125
1630674784062,-0.40625,0.375,0.8125
1630674784093,-0.40625,0.375,0.8125
1630674784125,-0.40625,0.375,0.8125
1630674784156,-0.40625,0.375,0.8125
1630674784187,-0.40625,0.375,0.828125
1630674784218,-0.40625,0.375,0.8125
1630674784250,-0.40625,0.375,0.8125
1630674784281,-0.40625,0.375,0.8125
1630674784312,-0.40625,0.375,0.8125
1630674784343,-0.40625,0.375,0.8125
1630674784375,-0.40625,0.375,0.828125
1630674784406,-0.40625,0.375,0.828125
1630674784437,-0.40625,0.375,0.8125
1630674784468,-0.40625,0.375,0.8125
1630674784500,-0.40625,0.375,0.8125
1630674784531,-0.40625,0.375,0.8125
1630674784562,-0.40625,0.375,0.8125
1630674784593,-0.40625,0.375,0.828125
1630674784625,-0.40625,0.375,0.8125
1630674784656,-0.40625,0.375,0.8125
1630674784687,-0.40625,0.375,0.8125
1630674784718,-0.40625,0.375,0.8125
1630674784750,-0.40625,0.375,0.8125
1630674784781,-0.40625,0.375,0.8125
1630674784812,-0.390625,0.375,0.828125
1630674784843,-0.40625,0.375,0.8125
1630674784875,-0.40625,0.375,0.8125
1630674784906,-0.40625,0.375,0.828125
1630674784937,-0.40625,0.375,0.828125
1630674784968,-0.40625,0.375,0.828125
1630674785000,-0.40625,0.375,0.8125
1630674785031,-0.40625,0.375,0.796875
1630674785062,-0.40625,0.375,0.796875
1630674785093,-0.40625,0.375,0.828125
1630674785125,-0.40625,0.375,0.828125
1630674785156,-0.40625,0.375,0.8125
1630674785187,-0.40625,0.359375,0.828125
1630674785218,-0.40625,0.375,0.828125
1630674785250,-0.390625,0.375,0.828125
1630674785281,-0.40625,0.390625,0.828125
1630674785312,-0.390625,0.390625,0.828125
1630674785343,-0.390625,0.390625,0.828125
1630674785375,-0.390625,0.390625,0.828125
1630674785406,-0.390625,0.390625,0.8125
1630674785437,-0.390625,0.40625,0.828125
1630674785468,-0.390625,0.40625,0.828125
1630674785500,-0.390625,0.390625,0.8125
1630674785531,-0.390625,0.390625,0.828125
1630674785562,-0.390625,0.375,0.828125
1630674785593,-0.390625,0.375,0.828125
1630674785625,-0.390625,0.375,0.828125
1630674785656,-0.390625,0.375,0.828125
1630674785687,-0.390625,0.390625,0.8125
1630674785718,-0.390625,0.390625,0.8125
1630674785750,-0.390625,0.390625,0.8125
1630674785781,-0.40625,0.390625,0.8125
1630674785812,-0.40625,0.390625,0.8125
1630674785843,-0.40625,0.390625,0.8125
1630674785875,-0.40625,0.390625,0.8125
1630674785906,-0.40625,0.375,0.8125
1630674785937,-0.390625,0.375,0.8125
1630674785968,-0.40625,0.390625,0.796875
1630674786000,-0.421875,0.40625,0.8125
1630674786031,-0.421875,0.40625,0.828125
1630674786062,-0.390625,0.390625,0.8125
1630674786093,-0.40625,0.390625,0.8125
1630674786125,-0.390625,0.390625,0.8125
1630674786156,-0.40625,0.390625,0.8125
1630674786187,-0.40625,0.390625,0.8125
1630674786218,-0.40625,0.390625,0.8125
1630674786250,-0.40625,0.390625,0.8125
1630674786281,-0.390625,0.390625,0.8125
1630674786312,-0.390625,0.375,0.8125
1630674786343,-0.390625,0.375,0.8125
1630674786375,-0.40625,0.390625,0.8125
1630674786406,-0.40625,0.390625,0.8125
1630674786437,-0.390625,0.390625,0.8125
1630674786468,-0.390625,0.390625,0.8125
1630674786500,-0.390625,0.390625,0.828125
1630674786531,-0.390625,0.390625,0.828125
1630674786562,-0.390625,0.390625,0.828125
1630674786593,-0.40625,0.375,0.8125
1630674786625,-0.390625,0.390625,0.8125
1630674786656,-0.390625,0.390625,0.828125
1630674786687,-0.390625,0.390625,0.8125
1630674786718,-0.390625,0.390625,0.8125
1630674786750,-0.390625,0.390625,0.8125
1630674786781,-0.40625,0.390625,0.8125
1630674786812,-0.390625,0.390625,0.8125
1630674786843,-0.390625,0.390625,0.8125
1630674786875,-0.390625,0.390625,0.8125
1630674786906,-0.40625,0.390625,0.8125
1630674786937,-0.390625,0.390625,0.8125
1630674786968,-0.390625,0.390625,0.8125
1630674787000,-0.390625,0.390625,0.8125
1630674787031,-0.390625,0.390625,0.828125
1630674787062,-0.390625,0.390625,0.8125
1630674787093,-0.40625,0.390625,0.8125
1630674787125,-0.390625,0.390625,0.8125
1630674787156,-0.390625,0.390625,0.8125
1630674787187,-0.390625,0.390625,0.8125
1630674787218,-0.390625,0.390625,0.8125
1630674787250,-0.390625,0.390625,0.8125
1630674787281,-0.40625,0.375,0.8125
1630674787312,-0.390625,0.390625,0.8125
1630674787343,-0.390625,0.390625,0.8125
1630674787375,-0.40625,0.390625,0.828125
1630674787406,-0.390625,0.390625,0.828125
1630674787437,-0.390625,0.390625,0.8125
1630674787468,-0.390625,0.390625,0.8125
1630674787500,-0.390625,0.390625,0.8125
1630674787531,-0.40625,0.390625,0.8125
1630674787562,-0.421875,0.390625,0.8125
1630674787593,-0.40625,0.390625,0.8125
1630674787625,-0.390625,0.390625,0.8125
1630674787656,-0.421875,0.40625,0.8125
1630674787687,-0.421875,0.390625,0.8125
1630674787718,-0.40625,0.390625,0.828125
1630674787750,-0.40625,0.375,0.828125
1630674787781,-0.375,0.359375,0.828125
1630674787812,-0.375,0.359375,0.796875
1630674787843,-0.40625,0.375,0.8125
1630674787875,-0.421875,0.390625,0.828125
1630674787906,-0.40625,0.40625,0.8125
1630674787937,-0.40625,0.40625,0.8125
1630674787968,-0.484375,0.390625,0.765625
1630674788000,-0.421875,0.359375,0.78125
1630674788031,-0.453125,0.34375,0.78125
1630674788062,-0.421875,0.359375,0.765625
1630674788093,-0.328125,0.375,0.8125
1630674788125,-0.53125,0.453125,0.859375
1630674788156,-0.375,0.453125,0.890625
1630674788187,-0.296875,0.421875,0.859375
1630674788218,-0.234375,0.390625,0.8125
1630674788250,-0.28125,0.359375,0.859375
1630674788281,-0.171875,0.34375,0.953125
1630674788312,-0.125,0.3125,0.890625
1630674788343,-0.15625,0.3125,0.84375
1630674788375,-0.1875,0.328125,0.890625
1630674788406,-0.234375,0.359375,0.890625
1630674788437,-0.359375,0.359375,0.8125
1630674788468,-0.390625,0.359375,0.796875
1630674788500,-0.390625,0.359375,0.8125
1630674788531,-0.40625,0.390625,0.921875
1630674788562,-0.53125,0.421875,0.859375
1630674788593,-0.40625,0.40625,0.8125
1630674788625,-0.34375,0.390625,0.75
1630674788656,-0.34375,0.359375,0.734375
1630674788687,-0.5,0.40625,0.78125
1630674788718,-0.375,0.390625,0.84375
1630674788750,-0.640625,0.34375,0.625
1630674788781,-0.6875,0.359375,0.625
1630674788812,-0.546875,0.375,0.71875
1630674788843,-0.375,0.390625,0.859375
1630674788875,-0.3125,0.421875,0.90625
1630674788906,-0.234375,0.453125,0.890625
1630674788937,-0.375,0.484375,0.828125
1630674788968,-0.4375,0.484375,0.796875
1630674789000,-0.46875,0.453125,0.78125
1630674789031,-0.421875,0.421875,0.78125
1630674789062,-0.421875,0.421875,0.78125
1630674789093,-0.421875,0.421875,0.78125
1630674789125,-0.421875,0.4375,0.796875
1630674789156,-0.40625,0.4375,0.796875
1630674789187,-0.40625,0.4375,0.796875
1630674789218,-0.40625,0.4375,0.796875
1630674789250,-0.40625,0.4375,0.78125
1630674789281,-0.421875,0.4375,0.78125
1630674789312,-0.421875,0.4375,0.796875
1630674789343,-0.40625,0.4375,0.796875
1630674789375,-0.40625,0.4375,0.78125
1630674789406,-0.40625,0.4375,0.796875
1630674789437,-0.40625,0.4375,0.796875
1630674789468,-0.40625,0.4375,0.78125
1630674789500,-0.421875,0.4375,0.78125
1630674789531,-0.40625,0.4375,0.796875
1630674789562,-0.40625,0.4375,0.78125
1630674789593,-0.40625,0.4375,0.78125
1630674789625,-0.40625,0.4375,0.78125
1630674789656,-0.40625,0.4375,0.78125
1630674789687,-0.40625,0.4375,0.796875
1630674789718,-0.40625,0.4375,0.78125
1630674789750,-0.40625,0.4375,0.78125
1630674789781,-0.40625,0.4375,0.78125
1630674789812,-0.40625,0.4375,0.78125
1630674789843,-0.40625,0.4375,0.78125
1630674789875,-0.40625,0.4375,0.78125
1630674789906,-0.40625,0.4375,0.78125
1630674789937,-0.40625,0.4375,0.78125
1630674789968,-0.40625,0.4375,0.78125
1630674790000,-0.40625,0.4375,0.78125
1630674790031,-0.40625,0.4375,0.78125
1630674790062,-0.40625,0.4375,0.78125
1630674790093,-0.40625,0.4375,0.796875
1630674790125,-0.40625,0.4375,0.78125
1630674790156,-0.40625,0.4375,0.78125
1630674790187,-0.40625,0.4375,0.78125
1630674790218,-0.40625,0.4375,0.78125
1630674790250,-0.40625,0.4375,0.78125
1630674790281,-0.40625,0.4375,0.78125
1630674790312,-0.40625,0.4375,0.796875
1630674790343,-0.40625,0.4375,0.78125
1630674790375,-0.40625,0.4375,0.78125
1630674790406,-0.40625,0.4375,0.78125
1630674790437,-0.40625,0.4375,0.78125
1630674790468,-0.40625,0.4375,0.78125
1630674790500,-0.40625,0.4375,0.78125
1630674790531,-0.40625,0.4375,0.78125
1630674790562,-0.40625,0.4375,0.78125
1630674790593,-0.40625,0.4375,0.78125
1630674790625,-0.40625,0.4375,0.78125
1630674790656,-0.40625,0.4375,0.78125
1630674790687,-0.40625,0.4375,0.796875
1630674790718,-0.40625,0.4375,0.796875
1630674790750,-0.40625,0.4375,0.78125
1630674790781,-0.40625,0.4375,0.78125
1630674790812,-0.40625,0.4375,0.78125
1630674790843,-0.40625,0.4375,0.78125
1630674790875,-0.40625,0.4375,0.796875
1630674790906,-0.40625,0.4375,0.78125
1630674790937,-0.40625,0.4375,0.78125
1630674790968,-0.40625,0.4375,0.78125
1630674791000,-0.40625,0.4375,0.78125
1630674791031,-0.40625,0.4375,0.78125
1630674791062,-0.40625,0.4375,0.78125
1630674791093,-0.40625,0.4375,0.78125
1630674791125,-0.40625,0.4375,0.78125
1630674791156,-0.40625,0.4375,0.796875
1630674791187,-0.40625,0.4375,0.78125
1630674791218,-0.40625,0.453125,0.78125
1630674791250,-0.40625,0.4375,0.796875
1630674791281,-0.40625,0.4375,0.78125
1630674791312,-0.40625,0.4375,0.78125
1630674791343,-0.40625,0.4375,0.796875
1630674791375,-0.40625,0.4375,0.78125
1630674791406,-0.40625,0.4375,0.796875
1630674791437,-0.390625,0.4375,0.796875
1630674791468,-0.40625,0.4375,0.78125
1630674791500,-0.40625,0.4375,0.78125
1630674791531,-0.40625,0.4375,0.78125
1630674791562,-0.40625,0.4375,0.78125
1630674791593,-0.40625,0.4375,0.78125
1630674791625,-0.40625,0.4375,0.78125
1630674791656,-0.40625,0.4375,0.78125
1630674791687,-0.40625,0.4375,0.78125
1630674791718,-0.40625,0.4375,0.796875
1630674791750,-0.40625,0.4375,0.78125
1630674791781,-0.40625,0.4375,0.78125
1630674791812,-0.40625,0.4375,0.796875
1630674791843,-0.40625,0.4375,0.796875
1630674791875,-0.40625,0.4375,0.78125
1630674791906,-0.40625,0.4375,0.78125
1630674791937,-0.40625,0.4375,0.78125
1630674791968,-0.40625,0.4375,0.78125
1630674792000,-0.40625,0.4375,0.796875
1630674792031,-0.40625,0.4375,0.78125
1630674792062,-0.40625,0.4375,0.78125
1630674792093,-0.40625,0.4375,0.78125
1630674792125,-0.40625,0.453125,0.796875
1630674792156,-0.40625,0.453125,0.78125
1630674792187,-0.40625,0.4375,0.796875
1630674792218,-0.40625,0.4375,0.78125
1630674792250,-0.40625,0.4375,0.78125
1630674792281,-0.40625,0.4375,0.78125
1630674792312,-0.40625,0.4375,0.78125
1630674792343,-0.40625,0.453125,0.78125
1630674792375,-0.40625,0.453125,0.78125
1630674792406,-0.40625,0.4375,0.78125
1630674792437,-0.40625,0.4375,0.796875
1630674792468,-0.40625,0.453125,0.78125
1630674792500,-0.40625,0.453125,0.78125
1630674792531,-0.40625,0.4375,0.796875
1630674792562,-0.40625,0.4375,0.78125
1630674792593,-0.40625,0.453125,0.78125
1630674792625,-0.40625,0.4375,0.78125
1630674792656,-0.40625,0.4375,0.78125
1630674792687,-0.40625,0.4375,0.78125
1630674792718,-0.40625,0.4375,0.78125
1630674792750,-0.40625,0.4375,0.78125
1630674792781,-0.40625,0.4375,0.796875
1630674792812,-0.40625,0.4375,0.78125
1630674792843,-0.40625,0.453125,0.78125
1630674792875,-0.40625,0.4375,0.78125
