timestamp,ax,ay,az
1629797528093,-0.96875,-0.28125,0.09375
1629797528125,-0.953125,-0.28125,0.09375
1629797528156,-0.953125,-0.28125,0.078125
1629797528187,-0.953125,-0.28125,0.09375
1629797528218,-0.953125,-0.28125,0.078125
1629797528250,-0.96875,-0.28125,0.09375
1629797528281,-0.953125,-0.28125,0.09375
1629797528312,-0.96875,-0.28125,0.09375
1629797528343,-0.96875,-0.28125,0.09375
1629797528375,-0.96875,-0.28125,0.09375
1629797528406,-0.953125,-0.28125,0.09375
1629797528437,-0.9375,-0.28125,0.109375
1629797528468,-0.953125,-0.28125,0.09375
1629797528500,-0.96875,-0.28125,0.078125
1629797528531,-0.984375,-0.28125,0.078125
1629797528562,-0.984375,-0.265625,0.0625
1629797528593,-0.953125,-0.28125,0.078125
1629797528625,-0.875,-0.265625,0.15625
1629797528656,-1.015625,-0.28125,0.078125
1629797528687,-1.015625,-0.28125,0.0625
1629797528718,-0.96875,-0.265625,0.0625
1629797528750,-0.96875,-0.265625,0.0625
1629797528781,-0.9375,-0.265625,0.09375
1629797528812,-0.953125,-0.265625,0.078125
1629797528843,-0.984375,-0.265625,0.0625
1629797528875,-0.953125,-0.265625,0.0625
1629797528906,-0.921875,-0.265625,0.0625
1629797528937,-0.9375,-0.265625,0.078125
1629797528968,-1.0,-0.234375,0.03125
1629797529000,-1.0,-0.25,0.015625
1629797529031,-0.953125,-0.265625,0.03125
1629797529062,-0.953125,-0.265625,0.03125
1629797529093,-0.96875,-0.28125,0.015625
1629797529125,-0.96875,-0.28125,0.0
1629797529156,-1.0,-0.28125,-0.015625
1629797529187,-0.96875,-0.296875,-0.015625
1629797529218,-0.953125,-0.296875,0.0
1629797529250,-0.96875,-0.296875,-0.015625
1629797529281,-0.96875,-0.28125,0.0
1629797529312,-0.984375,-0.296875,-0.015625
1629797529343,-0.96875,-0.28125,0.0
1629797529375,-0.953125,-0.265625,0.015625
1629797529406,-0.984375,-0.28125,0.015625
1629797529437,-1.0,-0.28125,-0.015625
1629797529468,-1.015625,-0.25,0.0
1629797529500,-1.015625,-0.25,0.046875
1629797529531,-1.015625,-0.234375,0.125
1629797529562,-1.046875,-0.234375,0.15625
1629797529593,-1.109375,-0.234375,0.171875
1629797529625,-1.140625,-0.21875,0.1875
1629797529656,-1.203125,-0.234375,0.1875
1629797529687,-0.984375,-0.234375,0.28125
1629797529718,-0.953125,-0.21875,0.296875
1629797529750,-1.0,-0.171875,0.296875
1629797529781,-0.96875,-0.125,0.328125
1629797529812,-0.90625,-0.109375,0.375
1629797529843,-0.828125,-0.078125,0.4375
1629797529875,-0.875,-0.046875,0.40625
1629797529906,-0.828125,0.03125,0.453125
1629797529937,-0.859375,0.109375,0.453125
1629797529968,-0.921875,0.15625,0.40625
1629797530000,-0.796875,0.203125,0.359375
1629797530031,-0.78125,0.21875,0.34375
1629797530062,-0.78125,0.296875,0.34375
1629797530093,-0.8125,0.3125,0.3125
1629797530125,-0.78125,0.328125,0.328125
1629797530156,-0.71875,0.359375,0.34375
1629797530187,-0.640625,0.359375,0.296875
1629797530218,-0.71875,0.359375,0.296875
1629797530250,-0.8125,0.328125,0.203125
1629797530281,-0.84375,0.34375,0.21875
1629797530312,-0.921875,0.265625,0.328125
1629797530343,-0.953125,0.25,0.328125
1629797530375,-0.9375,0.265625,0.328125
1629797530406,-0.921875,0.265625,0.421875
1629797530437,-1.078125,0.1875,0.515625
1629797530468,-0.890625,0.1875,0.546875
1629797530500,-0.65625,0.203125,0.5625
1629797530531,-0.65625,0.203125,0.546875
1629797530562,-0.828125,0.15625,0.65625
1629797530593,-0.890625,0.109375,0.703125
1629797530625,-0.671875,0.125,0.6875
1629797530656,-0.703125,0.171875,0.65625
1629797530687,-0.75,0.203125,0.640625
1629797530718,-0.734375,0.234375,0.640625
1629797530750,-0.71875,0.234375,0.640625
1629797530781,-0.734375,0.21875,0.671875
1629797530812,-0.734375,0.1875,0.6875
1629797530843,-0.703125,0.15625,0.6875
1629797530875,-0.6875,0.125,0.6875
1629797530906,-0.6875,0.125,0.6875
1629797530937,-0.6875,0.140625,0.6875
1629797530968,-0.703125,0.140625,0.6875
1629797531000,-0.703125,0.15625,0.6875
1629797531031,-0.71875,0.140625,0.671875
1629797531062,-0.703125,0.140625,0.6875
1629797531093,-0.703125,0.125,0.6875
1629797531125,-0.703125,0.109375,0.703125
1629797531156,-0.703125,0.125,0.6875
1629797531187,-0.703125,0.109375,0.6875
1629797531218,-0.703125,0.109375,0.6875
1629797531250,-0.703125,0.09375,0.6875
1629797531281,-0.6875,0.09375,0.703125
1629797531312,-0.6875,0.09375,0.6875
1629797531343,-0.6875,0.078125,0.703125
1629797531375,-0.6875,0.078125,0.703125
1629797531406,-0.6875,0.078125,0.703125
1629797531437,-0.6875,0.09375,0.703125
1629797531468,-0.6875,0.078125,0.71875
1629797531500,-0.671875,0.078125,0.71875
1629797531531,-0.6875,0.078125,0.703125
1629797531562,-0.671875,0.078125,0.703125
1629797531593,-0.671875,0.078125,0.71875
1629797531625,-0.65625,0.078125,0.71875
1629797531656,-0.671875,0.078125,0.71875
1629797531687,-0.671875,0.078125,0.71875
1629797531718,-0.671875,0.09375,0.71875
1629797531750,-0.671875,0.09375,0.71875
1629797531781,-0.671875,0.09375,0.71875
1629797531812,-0.671875,0.09375,0.71875
1629797531843,-0.671875,0.09375,0.734375
1629797531875,-0.671875,0.09375,0.734375
1629797531906,-0.671875,0.09375,0.734375
1629797531937,-0.671875,0.109375,0.71875
1629797531968,-0.671875,0.125,0.71875
1629797532000,-0.6875,0.125,0.71875
1629797532031,-0.703125,0.109375,0.71875
1629797532062,-0.671875,0.125,0.75
1629797532093,-0.671875,0.15625,0.6875
1629797532125,-0.6875,0.140625,0.703125
1629797532156,-0.65625,0.140625,0.734375
1629797532187,-0.640625,0.125,0.734375
1629797532218,-0.65625,0.125,0.703125
1629797532250,-0.625,0.09375,0.734375
1629797532281,-0.625,0.09375,0.734375
1629797532312,-0.640625,0.109375,0.71875
1629797532343,-0.640625,0.109375,0.703125
1629797532375,-0.65625,0.109375,0.71875
1629797532406,-0.625,0.140625,0.765625
1629797532437,-0.609375,0.140625,0.84375
1629797532468,-0.703125,0.09375,0.828125
1629797532500,-0.671875,0.125,0.734375
1629797532531,-0.609375,0.140625,0.71875
1629797532562,-0.625,0.125,0.734375
1629797532593,-0.625,0.140625,0.734375
1629797532625,-0.671875,0.140625,0.734375
1629797532656,-0.640625,0.15625,0.75
1629797532687,-0.609375,0.171875,0.78125
1629797532718,-0.640625,0.171875,0.796875
1629797532750,-0.609375,0.1875,0.765625
1629797532781,-0.625,0.171875,0.796875
1629797532812,-0.625,0.1875,0.765625
1629797532843,-0.609375,0.1875,0.71875
1629797532875,-0.578125,0.1875,0.703125
1629797532906,-0.578125,0.1875,0.703125
1629797532937,-0.59375,0.15625,0.734375
1629797532968,-0.609375,0.125,0.75
1629797533000,-0.609375,0.109375,0.75
1629797533031,-0.625,0.125,0.765625
1629797533062,-0.609375,0.125,0.78125
1629797533093,-0.578125,0.140625,0.78125
1629797533125,-0.5625,0.140625,0.796875
1629797533156,-0.5625,0.140625,0.8125
1629797533187,-0.5625,0.140625,0.8125
1629797533218,-0.5625,0.140625,0.8125
1629797533250,-0.53125,0.140625,0.8125
1629797533281,-0.53125,0.140625,0.828125
1629797533312,-0.515625,0.140625,0.8125
1629797533343,-0.53125,0.125,0.828125
1629797533375,-0.53125,0.125,0.828125
1629797533406,-0.53125,0.125,0.828125
1629797533437,-0.515625,0.125,0.828125
1629797533468,-0.515625,0.125,0.828125
1629797533500,-0.53125,0.140625,0.8125
1629797533531,-0.515625,0.125,0.828125
1629797533562,-0.53125,0.125,0.828125
1629797533593,-0.53125,0.125,0.828125
1629797533625,-0.53125,0.125,0.828125
1629797533656,-0.515625,0.125,0.828125
1629797533687,-0.515625,0.125,0.828125
1629797533718,-0.515625,0.125,0.828125
1629797533750,-0.53125,0.125,0.828125
1629797533781,-0.546875,0.140625,0.8125
1629797533812,-0.53125,0.140625,0.796875
1629797533843,-0.59375,0.09375,0.828125
1629797533875,-0.640625,0.0625,0.796875
1629797533906,-0.796875,0.015625,0.703125
1629797533937,-0.703125,0.078125,0.59375
1629797533968,-0.671875,0.078125,0.53125
1629797534000,-0.6875,0.109375,0.53125
1629797534031,-0.71875,0.109375,0.53125
1629797534062,-0.625,0.09375,0.640625
1629797534093,-0.5625,0.109375,0.75
1629797534125,-0.578125,0.109375,0.765625
1629797534156,-0.421875,0.125,0.84375
1629797534187,-0.515625,0.0625,0.859375
1629797534218,-0.5625,-0.03125,1.0625
1629797534250,-0.59375,-0.015625,1.0
1629797534281,-0.5625,0.03125,0.890625
1629797534312,-0.859375,0.0,0.59375
1629797534343,-0.890625,0.046875,0.578125
1629797534375,-0.71875,0.015625,0.65625
1629797534406,-0.65625,0.125,0.484375
1629797534437,-0.796875,0.046875,0.5
1629797534468,-0.84375,0.03125,0.625
1629797534500,-0.84375,0.078125,0.625
