timestamp,eda
1630937420250,2.021293
1630937420500,2.016168
1630937420750,2.016168
1630937421000,2.011043
1630937421250,2.009762
1630937421500,1.943132
1630937421750,1.849595
1630937422000,1.88291
1630937422250,1.952102
1630937422500,1.99823
1630937422750,2.031544
1630937423000,2.057171
1630937423250,2.081516
1630937423500,2.08536
1630937423750,2.102017
1630937424000,2.08536
1630937424250,2.076391
1630937424500,2.067421
1630937424750,2.034107
1630937425000,2.022575
1630937425250,2.004636
1630937425500,2.000792
1630937425750,1.99823
1630937426000,1.987979
1630937426250,1.303748
1630937426500,0.78461
1630937426750,0.306574
1630937427000,0.338538
1630937427250,1.17781
1630937427500,0.452646
1630937427750,1.17781
1630937428000,1.616094
1630937428250,2.01725
1630937428500,1.985416
1630937428750,1.973884
1630937429000,1.606142
1630937429250,2.044357
1630937429500,2.044357
1630937429750,2.04692
1630937430000,2.040514
1630937430250,2.081516
1630937430500,2.08536
1630937430750,2.090485
1630937431000,2.077672
1630937431250,2.072547
1630937431500,2.073828
1630937431750,2.067421
1630937432000,2.077672
1630937432250,2.069984
1630937432500,2.072547
1630937432750,2.077672
1630937433000,2.069984
1630937433250,2.058452
1630937433500,2.058452
1630937433750,2.055889
1630937434000,2.058452
1630937434250,2.052045
1630937434500,2.054608
1630937434750,2.053327
1630937435000,2.04692
1630937435250,2.048201
1630937435500,2.044357
1630937435750,2.040514
1630937436000,2.043076
1630937436250,2.036669
1630937436500,2.037951
1630937436750,2.037951
1630937437000,2.0277
1630937437250,2.032825
1630937437500,2.031544
1630937437750,2.030263
1630937438000,2.034107
1630937438250,2.025137
1630937438500,2.023856
1630937438750,2.023856
1630937439000,2.025137
1630937439250,2.023856
1630937439500,2.018731
1630937439750,2.023856
1630937440000,2.017449
1630937440250,2.018731
1630937440500,2.018731
1630937440750,2.014887
1630937441000,2.012324
1630937441250,2.005918
1630937441500,2.007199
1630937441750,2.007199
1630937442000,2.002074
1630937442250,2.004636
1630937442500,2.003355
1630937442750,1.995667
1630937443000,1.995667
1630937443250,1.990541
1630937443500,1.993104
1630937443750,1.993104
1630937444000,1.993104
1630937444250,1.990541
1630937444500,1.985416
1630937444750,1.987979
1630937445000,1.981572
1630937445250,1.977728
1630937445500,1.982854
1630937445750,1.975165
1630937446000,1.977728
1630937446250,1.973884
1630937446500,1.975165
1630937446750,1.986698
1630937447000,2.004636
1630937447250,2.034107
1630937447500,2.049483
1630937447750,2.06614
1630937448000,2.078953
1630937448250,2.077672
1630937448500,2.081516
1630937448750,2.080235
1630937449000,2.072547
1630937449250,2.064859
1630937449500,2.055889
1630937449750,2.045639
1630937450000,2.043076
1630937450250,2.0277
1630937450500,2.028981
1630937450750,2.025137
1630937451000,2.018731
1630937451250,2.017449
1630937451500,2.012324
1630937451750,2.011043
1630937452000,2.00848
1630937452250,2.004636
1630937452500,2.005918
1630937452750,1.999511
1630937453000,2.002074
1630937453250,1.995667
1630937453500,1.994385
1630937453750,1.996948
1630937454000,1.987979
1630937454250,1.990541
1630937454500,1.985416
1630937454750,1.987979
1630937455000,1.987979
1630937455250,1.982854
1630937455500,1.984135
1630937455750,1.980291
1630937456000,1.976447
1630937456250,1.977728
1630937456500,1.966196
1630937456750,1.967478
1630937457000,1.97004
1630937457250,1.95979
1630937457500,1.966196
1630937457750,1.95979
1630937458000,1.95979
1630937458250,1.955946
1630937458500,1.949539
1630937458750,1.954664
1630937459000,1.957227
1630937459250,1.946976
1630937459500,1.945695
1630937459750,1.948258
1630937460000,1.943132
1630937460250,1.943132
1630937460500,1.943132
1630937460750,1.946976
1630937461000,1.943132
1630937461250,1.939288
1630937461500,1.938007
1630937461750,1.932882
1630937462000,1.936726
1630937462250,1.934163
1630937462500,1.9316
1630937462750,1.926475
1630937463000,1.922631
1630937463250,1.92135
1630937463500,1.918787
1630937463750,1.913662
1630937464000,1.911099
1630937464250,1.907255
1630937464500,1.90213
1630937464750,1.905974
1630937465000,1.90213
1630937465250,1.898286
1630937465500,1.899567
1630937465750,1.894442
1630937466000,1.890598
1630937466250,1.888035
1630937466500,1.884191
1630937466750,1.884191
1630937467000,1.876503
1630937467250,1.879066
1630937467500,1.879066
1630937467750,1.867534
1630937468000,1.871378
1630937468250,1.866252
1630937468500,1.866252
1630937468750,1.866252
1630937469000,1.857283
1630937469250,1.857283
1630937469500,1.85472
1630937469750,1.852158
1630937470000,1.850876
1630937470250,1.845751
1630937470500,1.848314
1630937470750,1.847032
1630937471000,1.838063
1630937471250,1.839345
1630937471500,1.836782
1630937471750,1.832938
1630937472000,1.829094
1630937472250,1.823969
1630937472500,1.822687
1630937472750,1.822687
1630937473000,1.811155
1630937473250,1.81628
1630937473500,1.812436
1630937473750,1.80603
1630937474000,1.807311
1630937474250,1.800905
1630937474500,1.80603
1630937474750,1.800905
1630937475000,1.794498
1630937475250,1.794498
1630937475500,1.789373
1630937475750,1.78681
1630937476000,1.78681
1630937476250,1.781685
1630937476500,1.779122
1630937476750,1.779122
1630937477000,1.768871
1630937477250,1.770153
1630937477500,1.763746
1630937477750,1.766309
1630937478000,1.766309
1630937478250,1.758621
1630937478500,1.758621
1630937478750,1.754777
1630937479000,1.749651
1630937479250,1.750933
1630937479500,1.743245
1630937479750,1.735557
