timestamp,temp
1630059083750,35.75
1630059084000,35.73
1630059084250,35.73
1630059084500,35.73
1630059084750,35.73
1630059085000,35.77
1630059085250,35.77
1630059085500,35.77
1630059085750,35.77
1630059086000,35.77
1630059086250,35.77
1630059086500,35.77
1630059086750,35.77
1630059087000,35.75
1630059087250,35.75
1630059087500,35.75
1630059087750,35.75
1630059088000,35.75
1630059088250,35.75
1630059088500,35.75
1630059088750,35.75
1630059089000,35.75
1630059089250,35.75
1630059089500,35.75
1630059089750,35.75
1630059090000,35.71
1630059090250,35.71
1630059090500,35.71
1630059090750,35.71
1630059091000,35.73
1630059091250,35.73
1630059091500,35.73
1630059091750,35.73
1630059092000,35.71
1630059092250,35.71
1630059092500,35.71
1630059092750,35.71
1630059093000,35.71
1630059093250,35.71
1630059093500,35.71
1630059093750,35.71
1630059094000,35.71
1630059094250,35.71
1630059094500,35.71
1630059094750,35.71
1630059095000,35.71
1630059095250,35.71
1630059095500,35.71
1630059095750,35.71
1630059096000,35.71
1630059096250,35.71
1630059096500,35.71
1630059096750,35.71
1630059097000,35.71
1630059097250,35.71
1630059097500,35.71
1630059097750,35.71
1630059098000,35.71
1630059098250,35.71
1630059098500,35.71
1630059098750,35.71
1630059099000,35.71
1630059099250,35.71
1630059099500,35.71
1630059099750,35.71
1630059100000,35.68
1630059100250,35.68
1630059100500,35.68
1630059100750,35.68
1630059101000,35.65
1630059101250,35.65
1630059101500,35.65
1630059101750,35.65
1630059102000,35.66
1630059102250,35.66
1630059102500,35.66
1630059102750,35.66
1630059103000,35.66
1630059103250,35.66
1630059103500,35.66
1630059103750,35.66
1630059104000,35.68
1630059104250,35.68
1630059104500,35.68
1630059104750,35.68
1630059105000,35.66
1630059105250,35.66
1630059105500,35.66
1630059105750,35.66
1630059106000,35.65
1630059106250,35.65
1630059106500,35.65
1630059106750,35.65
1630059107000,35.65
1630059107250,35.65
1630059107500,35.65
1630059107750,35.65
1630059108000,35.65
1630059108250,35.65
1630059108500,35.65
1630059108750,35.65
1630059109000,35.63
1630059109250,35.63
1630059109500,35.63
1630059109750,35.63
1630059110000,35.63
1630059110250,35.63
1630059110500,35.63
1630059110750,35.63
1630059111000,35.61
1630059111250,35.61
1630059111500,35.61
1630059111750,35.61
1630059112000,35.63
1630059112250,35.63
1630059112500,35.63
1630059112750,35.63
1630059113000,35.63
1630059113250,35.63
1630059113500,35.63
1630059113750,35.63
1630059114000,35.61
1630059114250,35.61
1630059114500,35.61
1630059114750,35.61
1630059115000,35.63
1630059115250,35.63
1630059115500,35.63
1630059115750,35.63
1630059116000,35.63
1630059116250,35.63
1630059116500,35.63
1630059116750,35.63
1630059117000,35.61
1630059117250,35.61
1630059117500,35.61
1630059117750,35.61
1630059118000,35.61
1630059118250,35.61
