timestamp,duration
1631023462687,859.375
1631023463515,828.125
1631023464390,875.0
1631023465218,828.125
1631023466062,843.75
1631023466968,906.25
1631023467890,921.875
1631023468734,843.75
1631023469625,890.625
1631023470546,921.875
1631023471406,859.375
1631023472234,828.125
1631023473109,875.0
1631023473984,875.0
1631023474828,843.75
1631023475718,890.625
1631023476671,953.125
1631023477531,859.375
1631023478437,906.25
1631023479421,984.375
1631023483828,875.0
1631023484671,843.75
1631023485562,890.625
1631023486468,906.25
1631023487328,859.375
1631023488203,875.0
1631023489125,921.875
1631023490000,875.0
1631023490875,875.0
1631023491796,921.875
1631023492703,906.25
1631023493578,875.0
1631023494421,843.75
1631023495328,906.25
1631023496156,828.125
1631023496968,812.5
1631023497828,859.375
1631023498718,890.625
1631023499515,796.875
1631023500406,890.625
1631023501343,937.5
1631023502203,859.375
1631023503078,875.0
1631023503968,890.625
1631023504875,906.25
1631023505687,812.5
1631023506546,859.375
1631023507453,906.25
1631023508281,828.125
1631023509171,890.625
1631023510125,953.125
1631023511000,875.0
1631023511875,875.0
1631023512781,906.25
1631023513656,875.0
1631023514500,843.75
1631023515390,890.625
1631023516250,859.375
1631023517062,812.5
1631023517906,843.75
1631023518781,875.0
1631023519640,859.375
1631023520468,828.125
1631023521359,890.625
1631023522203,843.75
1631023523015,812.5
1631023523812,796.875
1631023524703,890.625
1631023525609,906.25
1631023526484,875.0
1631023527312,828.125
1631023528171,859.375
1631023529078,906.25
1631023530031,953.125
1631023530921,890.625
1631023531750,828.125
1631023532609,859.375
1631023533500,890.625
1631023534343,843.75
1631023535140,796.875
1631023535968,828.125
1631023536859,890.625
1631023537687,828.125
1631023538500,812.5
1631023539343,843.75
1631023540234,890.625
1631023541093,859.375
1631023541906,812.5
1631023542781,875.0
1631023543687,906.25
1631023544609,921.875
1631023545453,843.75
1631023546312,859.375
1631023547171,859.375
1631023548078,906.25
1631023548937,859.375
1631023549718,781.25
1631023550515,796.875
1631023551328,812.5
1631023552234,906.25
1631023553062,828.125
1631023553875,812.5
1631023559156,843.75
1631023559937,781.25
1631023560703,765.625
1631023561531,828.125
1631023562390,859.375
1631023563203,812.5
1631023568250,765.625
1631023578328,796.875
1631023586859,859.375
1631023587671,812.5
1631023588453,781.25
1631023589281,828.125
1631023590125,843.75
1631023590937,812.5
1631023591812,875.0
1631023597328,968.75
1631023598234,906.25
1631023599093,859.375
1631023599906,812.5
1631023600718,812.5
1631023601640,921.875
1631023602687,1046.875
1631023603703,1015.625
1631023604734,1031.25
1631023605765,1031.25
1631023606796,1031.25
1631023613421,875.0
1631023614250,828.125
1631023615156,906.25
1631023620421,875.0
1631023621234,812.5
1631023622078,843.75
1631023622984,906.25
1631023623890,906.25
1631023624750,859.375
1631023625671,921.875
1631023626578,906.25
1631023627406,828.125
1631023628218,812.5
1631023629062,843.75
1631023629984,921.875
1631023630765,781.25
1631023631609,843.75
1631023646515,625.0
1631023668015,765.625
1631023668718,703.125
1631023669656,937.5
1631023670406,750.0
1631023671203,796.875
1631023671890,687.5
1631023672828,937.5
1631023673656,828.125
1631023674500,843.75
1631023675250,750.0
1631023676156,906.25
1631023676906,750.0
1631023677781,875.0
1631023678593,812.5
1631023679453,859.375
1631023680343,890.625
1631023681156,812.5
1631023686328,812.5
1631023687171,843.75
1631023688062,890.625
1631023688890,828.125
1631023689734,843.75
1631023690671,937.5
1631023691562,890.625
1631023692453,890.625
1631023693375,921.875
1631023694218,843.75
1631023699406,1000.0
1631023700156,750.0
1631023701046,890.625
1631023701906,859.375
1631023702796,890.625
1631023703687,890.625
1631023704562,875.0
1631023705375,812.5
1631023710593,812.5
1631023711562,968.75
1631023712437,875.0
1631023713328,890.625
1631023714250,921.875
1631023715187,937.5
1631023716046,859.375
1631023724046,781.25
1631023733906,859.375
1631023734703,796.875
1631023735468,765.625
1631023736265,796.875
1631023737062,796.875
1631023737875,812.5
1631023738625,750.0
1631023739390,765.625
1631023740187,796.875
1631023740953,765.625
1631023741703,750.0
1631023742500,796.875
1631023743359,859.375
1631023744125,765.625
1631023744921,796.875
1631023745781,859.375
1631023746593,812.5
1631023747328,734.375
1631023748109,781.25
1631023748921,812.5
1631023749734,812.5
1631023750562,828.125
1631023751453,890.625
1631023752343,890.625
1631023753156,812.5
1631023754015,859.375
1631023754890,875.0
1631023755718,828.125
1631023756546,828.125
1631023757406,859.375
1631023758218,812.5
1631023759046,828.125
1631023759890,843.75
1631023760718,828.125
1631023761546,828.125
1631023762421,875.0
1631023763265,843.75
1631023764078,812.5
1631023764921,843.75
1631023765781,859.375
1631023766562,781.25
1631023767375,812.5
1631023768234,859.375
1631023769031,796.875
1631023769843,812.5
1631023770703,859.375
1631023771515,812.5
1631023772296,781.25
1631023773140,843.75
1631023773953,812.5
1631023774718,765.625
1631023775531,812.5
1631023776375,843.75
1631023820546,1062.5
1631023839859,500.0
1631023845937,859.375
1631023879765,468.75
1631023880390,625.0
1631023927359,500.0
1631023927937,578.125
1631023928421,484.375
1631023968250,484.375
1631023968843,593.75
1631023969343,500.0
1631023970031,687.5
1631024008796,593.75
1631024009406,609.375
1631024010046,640.625
1631024010656,609.375
1631024028265,796.875
1631024029031,765.625
1631024029843,812.5
1631024030593,750.0
1631024031359,765.625
1631024032187,828.125
1631024033015,828.125
1631024033812,796.875
1631024034671,859.375
1631024035484,812.5
1631024036250,765.625
1631024037031,781.25
1631024037843,812.5
1631024038578,734.375
1631024039390,812.5
1631024040250,859.375
1631024041078,828.125
1631024041906,828.125
1631024042750,843.75
1631024043546,796.875
1631024044406,859.375
1631024045203,796.875
1631024046000,796.875
1631024046812,812.5
1631024047625,812.5
1631024048468,843.75
1631024049312,843.75
1631024050156,843.75
1631024051015,859.375
1631024051843,828.125
1631024052656,812.5
1631024053500,843.75
1631024054343,843.75
1631024055156,812.5
1631024056062,906.25
1631024056906,843.75
1631024057734,828.125
1631024058593,859.375
1631024059437,843.75
1631024060234,796.875
1631024061093,859.375
1631024061906,812.5
1631024062718,812.5
1631024063593,875.0
1631024064437,843.75
1631024065343,906.25
1631024066265,921.875
1631024067140,875.0
1631024068031,890.625
1631024068921,890.625
1631024069781,859.375
1631024070640,859.375
1631024071484,843.75
1631024072312,828.125
1631024073218,906.25
1631024074078,859.375
1631024074953,875.0
1631024075875,921.875
1631024076765,890.625
1631024084375,781.25
1631024085078,703.125
1631024093375,750.0
1631024094171,796.875
1631024094906,734.375
1631024095640,734.375
1631024096421,781.25
1631024097234,812.5
1631024097937,703.125
1631024098703,765.625
1631024099546,843.75
1631024100343,796.875
1631024101109,765.625
1631024101937,828.125
1631024102796,859.375
1631024103578,781.25
1631024104390,812.5
1631024105187,796.875
1631024105968,781.25
1631024106781,812.5
1631024107609,828.125
1631024108359,750.0
1631024109140,781.25
1631024109968,828.125
1631024110687,718.75
1631024111484,796.875
1631024112296,812.5
1631024113078,781.25
1631024113906,828.125
1631024114765,859.375
1631024115562,796.875
1631024116390,828.125
1631024117187,796.875
1631024117921,734.375
1631024118765,843.75
1631024119562,796.875
1631024120328,765.625
1631024121109,781.25
1631024121968,859.375
1631024122765,796.875
1631024123609,843.75
1631024124484,875.0
1631024125328,843.75
1631024126203,875.0
1631024127046,843.75
1631024127875,828.125
1631024128703,828.125
1631024129468,765.625
1631024130296,828.125
1631024131156,859.375
1631024132031,875.0
1631024132890,859.375
1631024133812,921.875
1631024139109,890.625
1631024139968,859.375
1631024158703,812.5
1631024159468,765.625
1631024160265,796.875
1631024161109,843.75
1631024161937,828.125
1631024162734,796.875
1631024163531,796.875
1631024164343,812.5
1631024165109,765.625
1631024165890,781.25
1631024166703,812.5
1631024167484,781.25
1631024168250,765.625
1631024169078,828.125
1631024169906,828.125
1631024170687,781.25
1631024171546,859.375
1631024172406,859.375
1631024173234,828.125
1631024174093,859.375
1631024174984,890.625
1631024179828,843.75
1631024180796,968.75
1631024181687,890.625
1631024182578,890.625
1631024183515,937.5
1631024184343,828.125
1631024185187,843.75
1631024186031,843.75
1631024186859,828.125
1631024187656,796.875
1631024188531,875.0
1631024189375,843.75
1631024190234,859.375
1631024191109,875.0
1631024191921,812.5
1631024192781,859.375
1631024193656,875.0
1631024194468,812.5
1631024195312,843.75
1631024196156,843.75
1631024197000,843.75
1631024197843,843.75
1631024198718,875.0
1631024199546,828.125
1631024200406,859.375
1631024201281,875.0
1631024202109,828.125
1631024202937,828.125
1631024203781,843.75
1631024204593,812.5
1631024205390,796.875
1631024206265,875.0
1631024207125,859.375
1631024207937,812.5
1631024208812,875.0
1631024209718,906.25
1631024210546,828.125
1631024211390,843.75
1631024212203,812.5
1631024212968,765.625
1631024213765,796.875
1631024214593,828.125
1631024215437,843.75
1631024216296,859.375
1631024217171,875.0
1631024218015,843.75
1631024218859,843.75
1631024219765,906.25
1631024220515,750.0
1631024221312,796.875
1631024222109,796.875
1631024222937,828.125
1631024223734,796.875
1631024224593,859.375
1631024225437,843.75
1631024226265,828.125
1631024227140,875.0
1631024228000,859.375
1631024228796,796.875
1631024229625,828.125
1631024230531,906.25
1631024231375,843.75
1631024232156,781.25
1631024232984,828.125
1631024233843,859.375
1631024234656,812.5
1631024235468,812.5
1631024236343,875.0
1631024237187,843.75
1631024238000,812.5
1631024238906,906.25
1631024239796,890.625
1631024240671,875.0
1631024241484,812.5
1631024242312,828.125
1631024243156,843.75
1631024244031,875.0
1631024244875,843.75
1631024245734,859.375
1631024246609,875.0
1631024247421,812.5
1631024248281,859.375
1631024249156,875.0
1631024249968,812.5
1631024250750,781.25
1631024251625,875.0
1631024252453,828.125
1631024253250,796.875
1631024254093,843.75
1631024254937,843.75
1631024255765,828.125
1631024256609,843.75
1631024257500,890.625
1631024258328,828.125
1631024259156,828.125
1631024260000,843.75
1631024260796,796.875
1631024261578,781.25
1631024262421,843.75
1631024263281,859.375
1631024264125,843.75
1631024264984,859.375
1631024265890,906.25
1631024266703,812.5
1631024267515,812.5
1631024268375,859.375
1631024269234,859.375
1631024270046,812.5
1631024270953,906.25
1631024271843,890.625
1631024272703,859.375
1631024273562,859.375
1631024274437,875.0
1631024275296,859.375
1631024276140,843.75
1631024276984,843.75
1631024277796,812.5
1631024278640,843.75
1631024279468,828.125
1631024280296,828.125
1631024281093,796.875
1631024281953,859.375
1631024282781,828.125
1631024283578,796.875
1631024284421,843.75
1631024285265,843.75
1631024286109,843.75
1631024286937,828.125
1631024287828,890.625
1631024288671,843.75
1631024289515,843.75
1631024290375,859.375
1631024291203,828.125
1631024291859,656.25
1631024292765,906.25
1631024293593,828.125
1631024294390,796.875
1631024295203,812.5
1631024296046,843.75
1631024296875,828.125
1631024297718,843.75
1631024298562,843.75
1631024299406,843.75
1631024300234,828.125
1631024301109,875.0
1631024301984,875.0
1631024302781,796.875
1631024303609,828.125
1631024304453,843.75
1631024305281,828.125
1631024306062,781.25
1631024306812,750.0
1631024307531,718.75
1631024308265,734.375
1631024309031,765.625
1631024309703,671.875
1631024310562,859.375
1631024311453,890.625
1631024312250,796.875
1631024313015,765.625
1631024313796,781.25
1631024314625,828.125
1631024315406,781.25
1631024316156,750.0
1631024317015,859.375
1631024317859,843.75
1631024318625,765.625
1631024319468,843.75
1631024320312,843.75
1631024321140,828.125
1631024321984,843.75
1631024322843,859.375
1631024323671,828.125
1631024324421,750.0
1631024325312,890.625
1631024326203,890.625
1631024327046,843.75
1631024327937,890.625
1631024328843,906.25
1631024329687,843.75
1631024330515,828.125
1631024331375,859.375
1631024332218,843.75
1631024333046,828.125
1631024333921,875.0
1631024334765,843.75
1631024335609,843.75
1631024336468,859.375
1631024337328,859.375
1631024338140,812.5
1631024338984,843.75
1631024339828,843.75
1631024340656,828.125
1631024341453,796.875
1631024342328,875.0
1631024343171,843.75
1631024343921,750.0
1631024344734,812.5
1631024345609,875.0
1631024346484,875.0
1631024347296,812.5
1631024348125,828.125
1631024349000,875.0
1631024349812,812.5
1631024350625,812.5
1631024351453,828.125
1631024352125,671.875
1631024361562,843.75
1631024362375,812.5
1631024363218,843.75
1631024364078,859.375
1631024364875,796.875
1631024365656,781.25
1631024392953,875.0
1631024393796,843.75
1631024394687,890.625
1631024403156,859.375
1631024404015,859.375
1631024404890,875.0
1631024405734,843.75
1631024406625,890.625
1631024407484,859.375
1631024408281,796.875
1631024409093,812.5
1631024409921,828.125
1631024410703,781.25
1631024411546,843.75
