timestamp,temp
1629456577000,34.16
1629456577250,34.16
1629456577500,34.16
1629456577750,34.16
1629456578000,34.15
1629456578250,34.15
1629456578500,34.15
1629456578750,34.15
1629456579000,34.15
1629456579250,34.15
1629456579500,34.15
1629456579750,34.15
1629456580000,34.13
1629456580250,34.13
1629456580500,34.13
1629456580750,34.13
1629456581000,34.11
1629456581250,34.11
1629456581500,34.11
1629456581750,34.11
1629456582000,34.11
1629456582250,34.11
1629456582500,34.11
1629456582750,34.11
1629456583000,34.11
1629456583250,34.11
1629456583500,34.11
1629456583750,34.11
1629456584000,34.11
1629456584250,34.11
1629456584500,34.11
1629456584750,34.11
1629456585000,34.09
1629456585250,34.09
1629456585500,34.09
1629456585750,34.09
1629456586000,34.11
1629456586250,34.11
1629456586500,34.11
1629456586750,34.11
1629456587000,34.11
1629456587250,34.11
1629456587500,34.11
1629456587750,34.11
1629456588000,34.11
1629456588250,34.11
1629456588500,34.11
1629456588750,34.11
1629456589000,34.11
1629456589250,34.11
1629456589500,34.11
1629456589750,34.11
1629456590000,34.13
1629456590250,34.13
1629456590500,34.13
1629456590750,34.13
1629456591000,34.13
1629456591250,34.13
1629456591500,34.13
1629456591750,34.13
1629456592000,34.11
1629456592250,34.11
1629456592500,34.11
1629456592750,34.11
1629456593000,34.13
1629456593250,34.13
1629456593500,34.13
1629456593750,34.13
1629456594000,34.11
1629456594250,34.11
1629456594500,34.11
1629456594750,34.11
1629456595000,34.13
1629456595250,34.13
1629456595500,34.13
1629456595750,34.13
1629456596000,34.13
1629456596250,34.13
1629456596500,34.13
1629456596750,34.13
1629456597000,34.16
1629456597250,34.16
1629456597500,34.16
1629456597750,34.16
1629456598000,34.16
1629456598250,34.16
1629456598500,34.16
1629456598750,34.16
1629456599000,34.13
1629456599250,34.13
1629456599500,34.13
1629456599750,34.13
1629456600000,34.16
1629456600250,34.16
1629456600500,34.16
1629456600750,34.16
1629456601000,34.16
1629456601250,34.16
1629456601500,34.16
1629456601750,34.16
1629456602000,34.18
1629456602250,34.18
1629456602500,34.18
1629456602750,34.18
1629456603000,34.16
1629456603250,34.16
1629456603500,34.16
1629456603750,34.16
1629456604000,34.18
1629456604250,34.18
1629456604500,34.18
1629456604750,34.18
1629456605000,34.18
1629456605250,34.18
1629456605500,34.18
1629456605750,34.18
1629456606000,34.18
1629456606250,34.18
1629456606500,34.18
1629456606750,34.18
1629456607000,34.18
1629456607250,34.18
1629456607500,34.18
1629456607750,34.18
1629456608000,34.18
1629456608250,34.18
1629456608500,34.18
1629456608750,34.18
1629456609000,34.21
1629456609250,34.21
1629456609500,34.21
1629456609750,34.21
1629456610000,34.21
1629456610250,34.21
1629456610500,34.21
1629456610750,34.21
1629456611000,34.23
1629456611250,34.23
1629456611500,34.23
1629456611750,34.23
1629456612000,34.21
1629456612250,34.21
1629456612500,34.21
1629456612750,34.21
1629456613000,34.23
1629456613250,34.23
