timestamp,ax,ay,az
1631632613000,0.796875,-0.375,0.484375
1631632613031,0.796875,-0.375,0.484375
1631632613062,0.8125,-0.375,0.484375
1631632613093,0.796875,-0.375,0.484375
1631632613125,0.796875,-0.375,0.484375
1631632613156,0.796875,-0.375,0.46875
1631632613187,0.8125,-0.375,0.484375
1631632613218,0.796875,-0.375,0.46875
1631632613250,0.796875,-0.375,0.484375
1631632613281,0.796875,-0.375,0.484375
1631632613312,0.796875,-0.375,0.484375
1631632613343,0.796875,-0.375,0.484375
1631632613375,0.796875,-0.375,0.46875
1631632613406,0.796875,-0.375,0.484375
1631632613437,0.796875,-0.375,0.484375
1631632613468,0.796875,-0.375,0.484375
1631632613500,0.796875,-0.375,0.484375
1631632613531,0.796875,-0.375,0.484375
1631632613562,0.796875,-0.375,0.484375
1631632613593,0.796875,-0.375,0.484375
1631632613625,0.796875,-0.375,0.484375
1631632613656,0.796875,-0.375,0.46875
1631632613687,0.796875,-0.375,0.484375
1631632613718,0.796875,-0.375,0.484375
1631632613750,0.796875,-0.375,0.484375
1631632613781,0.796875,-0.375,0.484375
1631632613812,0.796875,-0.375,0.484375
1631632613843,0.796875,-0.375,0.484375
1631632613875,0.796875,-0.375,0.484375
1631632613906,0.796875,-0.359375,0.484375
1631632613937,0.796875,-0.375,0.484375
1631632613968,0.796875,-0.375,0.484375
1631632614000,0.796875,-0.375,0.484375
1631632614031,0.796875,-0.375,0.484375
1631632614062,0.796875,-0.375,0.484375
1631632614093,0.796875,-0.375,0.484375
1631632614125,0.796875,-0.375,0.484375
1631632614156,0.796875,-0.359375,0.484375
1631632614187,0.796875,-0.359375,0.484375
1631632614218,0.796875,-0.375,0.484375
1631632614250,0.796875,-0.375,0.484375
1631632614281,0.796875,-0.375,0.484375
1631632614312,0.796875,-0.375,0.484375
1631632614343,0.796875,-0.375,0.484375
1631632614375,0.796875,-0.375,0.484375
1631632614406,0.796875,-0.375,0.484375
1631632614437,0.796875,-0.359375,0.484375
1631632614468,0.796875,-0.375,0.484375
1631632614500,0.8125,-0.359375,0.484375
1631632614531,0.796875,-0.375,0.484375
1631632614562,0.796875,-0.359375,0.484375
1631632614593,0.8125,-0.359375,0.46875
1631632614625,0.796875,-0.359375,0.46875
1631632614656,0.8125,-0.359375,0.484375
1631632614687,0.8125,-0.359375,0.46875
1631632614718,0.828125,-0.359375,0.484375
1631632614750,0.8125,-0.359375,0.5
1631632614781,0.84375,-0.359375,0.484375
1631632614812,0.84375,-0.375,0.484375
1631632614843,0.890625,-0.359375,0.5
1631632614875,0.9375,-0.359375,0.53125
1631632614906,0.9375,-0.296875,0.53125
1631632614937,0.984375,-0.25,0.625
1631632614968,0.96875,-0.234375,0.625
1631632615000,0.9375,-0.15625,0.625
1631632615031,1.0,-0.109375,0.625
1631632615062,0.9375,-0.0625,0.5625
1631632615093,0.921875,0.03125,0.515625
1631632615125,1.03125,0.09375,0.484375
1631632615156,0.953125,0.1875,0.421875
1631632615187,0.890625,0.234375,0.390625
1631632615218,1.0,0.375,0.265625
1631632615250,1.234375,0.46875,0.046875
1631632615281,1.21875,0.515625,-0.125
1631632615312,0.96875,0.609375,-0.234375
1631632615343,0.859375,0.75,-0.1875
1631632615375,0.890625,0.65625,-0.078125
1631632615406,0.71875,0.5,-0.03125
1631632615437,0.46875,0.484375,-0.0625
1631632615468,0.328125,0.609375,-0.109375
1631632615500,0.171875,0.640625,-0.109375
1631632615531,0.21875,0.65625,-0.09375
1631632615562,0.25,0.765625,-0.015625
1631632615593,0.28125,0.75,0.0625
1631632615625,0.296875,0.84375,0.109375
1631632615656,0.328125,0.84375,0.21875
1631632615687,0.328125,0.890625,0.234375
1631632615718,0.28125,0.984375,0.171875
1631632615750,0.25,0.984375,0.171875
1631632615781,0.265625,0.96875,0.140625
1631632615812,0.234375,1.0,0.09375
1631632615843,0.21875,0.953125,0.1875
1631632615875,0.265625,0.921875,0.296875
1631632615906,0.25,0.90625,0.265625
1631632615937,0.21875,0.90625,0.265625
1631632615968,0.296875,0.921875,0.28125
1631632616000,0.28125,0.921875,0.28125
1631632616031,0.25,0.9375,0.234375
1631632616062,0.25,0.921875,0.28125
1631632616093,0.265625,0.921875,0.3125
1631632616125,0.234375,0.890625,0.296875
1631632616156,0.234375,0.90625,0.3125
1631632616187,0.203125,0.890625,0.3125
1631632616218,0.1875,0.84375,0.328125
1631632616250,0.21875,0.84375,0.34375
1631632616281,0.234375,0.90625,0.28125
1631632616312,0.234375,0.90625,0.265625
1631632616343,0.3125,0.9375,0.3125
1631632616375,0.28125,0.96875,0.296875
1631632616406,0.265625,0.953125,0.328125
1631632616437,0.296875,0.9375,0.34375
1631632616468,0.296875,0.9375,0.328125
1631632616500,0.28125,0.90625,0.34375
1631632616531,0.265625,0.921875,0.3125
1631632616562,0.28125,0.921875,0.3125
1631632616593,0.265625,0.90625,0.328125
1631632616625,0.25,0.90625,0.328125
1631632616656,0.203125,0.90625,0.3125
1631632616687,0.203125,0.90625,0.390625
1631632616718,0.1875,0.875,0.40625
1631632616750,0.234375,0.921875,0.375
1631632616781,0.25,0.921875,0.359375
1631632616812,0.234375,0.875,0.359375
1631632616843,0.125,0.859375,0.421875
1631632616875,0.140625,0.84375,0.4375
1631632616906,0.125,0.875,0.46875
1631632616937,0.109375,0.890625,0.390625
1631632616968,0.109375,0.921875,0.390625
1631632617000,0.109375,0.90625,0.390625
1631632617031,0.078125,0.90625,0.40625
1631632617062,0.078125,0.90625,0.4375
1631632617093,0.03125,0.875,0.40625
1631632617125,0.078125,0.859375,0.40625
1631632617156,0.234375,0.84375,0.40625
1631632617187,0.203125,0.859375,0.375
1631632617218,0.15625,0.875,0.3125
1631632617250,0.171875,0.875,0.3125
1631632617281,0.1875,0.875,0.28125
1631632617312,0.203125,0.90625,0.265625
1631632617343,0.21875,0.890625,0.265625
1631632617375,0.234375,0.875,0.25
1631632617406,0.28125,0.890625,0.25
1631632617437,0.3125,0.875,0.25
1631632617468,0.34375,0.84375,0.203125
1631632617500,0.390625,0.84375,0.25
1631632617531,0.390625,0.828125,0.234375
1631632617562,0.40625,0.765625,0.125
1631632617593,0.421875,0.734375,0.125
1631632617625,0.46875,0.65625,0.265625
1631632617656,0.59375,0.609375,0.265625
1631632617687,0.59375,0.59375,0.171875
1631632617718,0.515625,0.5625,0.109375
1631632617750,0.578125,0.53125,0.15625
1631632617781,0.796875,0.4375,0.0625
1631632617812,0.796875,0.453125,0.046875
1631632617843,1.046875,0.421875,0.078125
1631632617875,1.171875,0.3125,0.078125
1631632617906,1.125,0.3125,0.03125
1631632617937,1.234375,0.1875,0.109375
1631632617968,1.09375,0.0625,0.265625
1631632618000,1.078125,0.015625,0.265625
1631632618031,1.03125,-0.15625,0.3125
1631632618062,0.828125,-0.28125,0.28125
1631632618093,0.75,-0.296875,0.265625
1631632618125,0.859375,-0.40625,0.265625
